,Description,Score,sentiment
1562,"It has been three months since the incident at Yokohama. Things have been settling down at Cafe Nowhere. Murasaki and Hajime have teamed up and started investigating again. After an unforeseen reunion; Art holds Nice at gunpoint. What are his real intentions? What will become of the connection between Art and Hamatora?

 ",7.48,0.0
1521,Jiang Hao Yi; a normal; high school student who is extremely scared of getting into trouble; suddenly becomes the Harem King of his school when a bunch of beautiful girls confess to him! Unfortunately for Jian Hao; he doesn't know any of the girls who have confessed to him... What on Earth is happening?,7.48,0.0
1548,"In his past life; although too weak to protect his home when it counted; out of grave determination Nie Li became the strongest Demon Spiritist and stood at the pinnacle of the martial world. However; he lost his life during the battle with the Sage Emperor and six deity-ranked beasts.

His soul was then brought back to when he was still 13 years old. Although he's the weakest in his class with the lowest talent; having only a red soul realm and a weak one at that; with the aid of the vast knowledge which he accumulated from his previous life; he decided to train faster than anyone could expect. He also decided to help those who died nobly in his previous life to train faster as well.

He aims to protect the city from the coming future of being devastated by demon beasts and the previous fate of ending up destroyed. He aims to protect his lover; friends; family and fellow citizens who died in the beast assault or its aftermath. And he aims to destroy the so-called Sacred family who arrogantly abandoned their duty and betrayed the city in his past life.

(Source: Goodreads)",7.48,0.0
1550,Beelzebub specials included in the BD/DVD releases.,7.48,0.0
1551,"A new island resort has been built in Tokyo bay; and it is run by one of the world's most powerful super computers. The City Hunter gang has been invited to the grand opening party; but only Miki & Kaori have gotten there. Soon; they and the rest of the party goers are taken hostage by an exiled South American dictator called General Gillium. Now it's up to Ryo and Umibozu to free the hostages; and prevent Gillium's daughter from using the super computer to launch a nuclear attack on the USA. 

 ",7.48,0.0
1552,"A full-scale historical drama set in the last days (the year 1574) of the Sengoku Era of feudal Japan. It is the story of the Nohara family; who has been transferred into the Sengoku Era by time warp; and a tragic love between a princess Ren Kasuga (a daughter of the feudal lord Kasuga at the Province of Musashi) and a samurai warrior Matabei Ijiri (a retainer of the Lord Kasuga).

(Source: Manabu Tsuribe)",7.48,0.0
1553,"The royal life of Princess Angelise Ikaruga Misurugi was as idyllic as the life of a sixteen-year-old princess could be. Beautiful; talented; athletic; loved by her people; and soon to be baptized in honor of her ascension to the throne of the Misurugi Empire; Angelise had everything. Even her kingdom was in a blissful age of peace and prosperity thanks to the utilization of an extremely advanced technology materialization force known as ""mana.""

However; everything Angelise has come to know soon crashes to the ground around her after she is revealed to be a ""norma;"" a member of society resistant to the effects of mana and unable to use it herself. Just like the rest of the norma; Angelise is arrested and removed from society. Now she's being forced to work as a soldier based out of the prison camp; Arzenal; and fly a transforming robotic vehicle called a ""Paramail.""

To survive; Angelise will have to adapt to several different aspects of her new life in Cross Ange: Tenshi to Ryuu no Rondo; coping with prison society; relationships with other ""norma"" women; and piloting her Paramail against giant beasts known as DRAGONs. Will revenge be a great enough motive to encourage her to overcome these challenges? Or will the hate for those that betrayed her tear her apart in the process?",7.48,0.0
1561,"Recap of the entire 25-episode television anime series with new cuts and also the unaired ""True End Episode"" that was included in the 10th Blu-ray Disc/DVD volume.",7.48,0.0
1555,Every episode is a stand-alone retelling of a different fairy or folk tale.  Not all of them are based on the fairy tales collected by the Brothers Grimm.,7.48,0.0
1556,"For years; Yuno has dreamed of attending Yamabuki Arts High School; but now that she's been accepted; it means the scary prospect of moving away from her home and family for the first time! Fortunately; Yuno quickly learns that if her new neighbors at the eclectic Hidamari (Sunshine) Apartments aren't technically family; at least the majority share the bond of being fellow art students. From second year students like Hiro and Sae; who try to behave like helpful older sisters (mostly successfully) to her hyperactive new neighbor; classmate and best friend Miyako (who has the scariest apartment ever) Yuno begins to build the support network she'll need for dealing with strange characters like her oddly masculine landlady; her cosplay obsessed home room teacher; her tooth-chattering principal and all of the other odd denizens who inhabit her chosen world of art.

 ",7.48,0.0
1557,"The dark-haired bishounen is Sakon Tachibana; a puppeteer; and the other is Ukon; his favorite puppet; and best friend. Sakon is the (only) grandson of Saemon Tachibana; a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them.

 ",7.48,0.0
1558,"The stage of Kuroshitsuji II opens on the life of Alois Trancy; the young heir to the Trancy earldom. Though he is privileged now; such was not always the case for the hot-tempered boy. Kidnapped and forced into slavery at a young age; he was eventually rescued and returned home; only to have his beloved father pass away soon after.

However; there are certain individuals who doubt Alois' story and legitimacy. And rightfully so; because things in the Trancy household are not as they appear; starting with Alois' black-clad butler with supernatural abilities; Claude Faustus. Who exactly is the mysterious Claude; and what connection does he have with Alois?

Amid the web of lies and deceit running rampant in the mansion; the bond between Alois and Claude will be tested as hell itself arrives at their doorstep.

 ",7.48,0.0
1554,"Included with the second Blu-ray box set for the series; the short adapts ""sunny day;"" an alternate ""good"" ending to the ""Unlimited Blade Works"" route from the original Fate/stay night game. ",7.48,0.0
1559,"Second Minami-ke OVA bundled with the 11th volume of the manga.

Chiaki; Kana; and Haruka decide how to spend their last few days of summer together.  Kana struggles to finish her homework.",7.48,0.0
1560,"Ninjas with bloodline limits begin disappearing in all the countries and blame points toward the fire nation. By Tsunade's order; Kakashi is sacrificed to prevent an all out war. After inheriting charms left by Kakashi; Naruto fights through friends and foes to prevent his death while changing the minds of those who've inherited the will of fire.

 ",7.48,0.0
1532,"The Fan Disc includes the unaired episode ""Ore-sama Nikki Sono 2""",7.49,0.0
1531,"The OVA episode will revisit the primary matches in from the spring tournament; and feature interviews with players.

(Source: MAL News)",7.49,0.0
1529,This special is showing a day of Eclair's life as a prologue to the movie Houou no Miko.,7.49,0.0
1528,"The anime follows the daily life of an earnest; hardworking office lady named Kaoru and her otaku husband; Hajime; who is totally immersed in a certain huge net bulletin board system.

 ",7.49,0.0
1527,"Hiroshi got a slipped disk due to a back injury. He was taken to an Este salon by a mysterious beautiful girl who appeared suddenly; to receive a free trial of beauty treatment as well as a massage. When Hiroshi returned home after a beauty treatment; he was surprised to see himself in the form of a robot. Shinnosuke gets overjoyed; whereas Misae gets worried on seeing him as a naked robot. The robot version of Hiroshi turns out to be convenient. The robot Hiroshi could be controlled by a remote control and pretty much do anything including cooking and cleaning. Meanwhile; Hiroshi realizes that his turning into a robot has to do something with that Este salon. However; this new change was a dark conspiracy hatched by “Chichi Yure Doumei (The Association of Fathers)” to create a strong father figure for all the fathers in Japan. Soon; many dads in the whole nation go out of control; and the Nohara family (Shinnosuke's family) and Kasukabe start falling apart. Before the near-collapse of Kasukabe; Shinnosuke and Hiroshi i.e. Robot dad stand up to save the day. Featuring the most intense battle of middle-aged men; the movie brings a touching story that makes all fathers and families in Japan cry.

 ",7.49,0.0
1524,"After conquering the galaxy; mankind has reached its apex and is now on a steady decline. The resources of the universe are diminishing; and around 500 billion humans begin to return home to Earth. Thus begins a war between the various factions of humans for control of the planet. Eventually; an authoritarian government known as the Gaia Sanction prevents the re-population of Earth.

Captain Herlock was one of the Elite Wing who was tasked by the Gaia Sanction to defend the Earth. His fleet of ships was unstoppable under his command. However; the Gaia Sanction allows a diplomatic elite to immigrate to Earth; which angers Herlock. He goes rogue and fires upon the diplomats and the rest of his fleet. He decides to unleash dark matter on the planet to make it uninhabitable; but also becomes engulfed in it which immortalizes him.

One hundred years have passed; and the legendary Captain Herlock is still at large; with only the Arcadia under his control. The Gaia Sanction continues with their plans for control over the Earth; while hiding its true state. But Captain Herlock is preparing for one final showdown with them; which will determine the fate of the world!",7.49,0.0
1525,"Beautiful American Emily O'Hara offers the City Hunter (Ryo Saeba & Kaori Makimura) one million dollars to protect her from a man named Douglas. Ryo & Kaori take the job; but things are not quite what they seem. The real target just might be Ryo; but it's unclear who wants Saeba dead.

 ",7.49,0.0
1533,OVA episode bundled with fifth volume of manga.,7.49,0.0
