,genre,score,sentiment
14286,Adventure; Fantasy; Kids,0.0,0
5344,Action,0.0,0
11127,Adventure; Sci-Fi,0.0,0
1702,Action; Adventure; Fantasy; Shounen; Super Power,0.0,0
6215,Action; Adventure; Supernatural,0.0,0
14367,Seinen; Slice of Life,0.0,0
11158,Comedy; Drama; School,0.0,0
3905,Adventure; Comedy,0.0,0
12039,Seinen; Slice of Life,0.0,0
6266,Action; Adventure; Fantasy,0.0,0
458,Action; Music,0.0,0
1733,nan,0.0,0
4749,Action; Sci-Fi; Space; Horror; Drama; Seinen,0.0,0
3029,Action; Sci-Fi; Adventure,0.0,0
14370,Action; Adventure; Fantasy; Magic; Shounen,0.0,0
3018,Comedy; Seinen,0.0,0
4720,Comedy; Mecha; Parody,0.0,0
11224,Fantasy; Horror; Mystery,0.0,0
14372,Action; Magic; Fantasy; Shoujo,0.0,0
13079,Action; Adventure; Fantasy; Harem; Magic; Romance,0.0,0
1759,Music; Slice of Life,0.0,0
1762,Music; School; Shoujo,0.0,0
11227,Action; Super Power,0.0,0
1763,Fantasy; Harem,0.0,0
3008,Music,0.0,0
11236,Action; Adventure; Comedy; Magic; Fantasy; Shounen,0.0,0
1773,Action; Adventure; Comedy; Fantasy; Martial Arts; Shounen; Super Power,0.0,0
12515,nan,0.0,0
8794,Comedy; Slice of Life; Supernatural; Vampire,0.0,0
11252,Comedy,0.0,0
6207,Action; Fantasy; Shounen,0.0,0
14364,Dementia; Horror; Supernatural,0.0,0
9104,Action; Police; Psychological; Sci-Fi,0.0,0
9102,Action; Music; Sci-Fi,0.0,0
6032,Action; Sci-Fi; Adventure,0.0,0
3836,Comedy; Parody,0.0,0
3152,Hentai,0.0,0
10984,Slice of Life,0.0,0
1581,Action; Game; Mystery; Sci-Fi,0.0,0
14121,Comedy,0.0,0
13182,Slice of Life; Comedy; Sports; Drama; School,0.0,0
8997,Action; Adventure; Seinen,0.0,0
8985,Slice of Life; Comedy; School; Shounen,0.0,0
8978,Action; Fantasy,0.0,0
11024,Magic; Military,0.0,0
8943,Action; Adventure; Sci-Fi,0.0,0
6103,Action; Sci-Fi; Super Power; Magic,0.0,0
12964,Action; Samurai; Fantasy,0.0,0
1635,Action; Adventure; Magic; Fantasy,0.0,0
8906,Action; Mecha; Military; Music; Romance; Sci-Fi; Space,0.0,0
11068,Hentai,0.0,0
8894,Fantasy; Slice of Life,0.0,0
6118,Action; Adventure; Fantasy; Sci-Fi,0.0,0
1652,Music; School; Slice of Life,0.0,0
511,Action; Magic; Fantasy,0.0,0
8868,nan,0.0,0
8835,Comedy; Magic; Fantasy,0.0,0
3072,Action; Adventure; Comedy; Drama; Fantasy; Seinen,0.0,0
