,source,score,sentiment
14286,Other,0.0,0
5344,Original,0.0,0
11127,Original,0.0,0
1702,Manga,0.0,0
6215,Manga,0.0,0
14367,Manga,0.0,0
11158,Manga,0.0,0
3905,Game,0.0,0
12039,Manga,0.0,0
6266,Light novel,0.0,0
458,Original,0.0,0
1733,Original,0.0,0
4749,Manga,0.0,0
3029,Manga,0.0,0
14370,Web manga,0.0,0
3018,Manga,0.0,0
4720,Original,0.0,0
11224,Original,0.0,0
14372,Original,0.0,0
13079,Game,0.0,0
1759,Original,0.0,0
1762,Game,0.0,0
11227,Manga,0.0,0
1763,Light novel,0.0,0
3008,Music,0.0,0
11236,Manga,0.0,0
1773,Manga,0.0,0
12515,Original,0.0,0
8794,4-koma manga,0.0,0
11252,Original,0.0,0
6207,Manga,0.0,0
14364,Original,0.0,0
9104,Original,0.0,0
9102,Original,0.0,0
6032,Manga,0.0,0
3836,4-koma manga,0.0,0
3152,Digital manga,0.0,0
10984,Original,0.0,0
1581,Game,0.0,0
14121,Original,0.0,0
13182,Original,0.0,0
8997,Manga,0.0,0
8985,4-koma manga,0.0,0
8978,Light novel,0.0,0
11024,Light novel,0.0,0
8943,Game,0.0,0
6103,Light novel,0.0,0
12964,Card game,0.0,0
1635,Game,0.0,0
8906,Original,0.0,0
11068,Manga,0.0,0
8894,Original,0.0,0
6118,Other,0.0,0
1652,Original,0.0,0
511,Game,0.0,0
8868,Original,0.0,0
8835,Light novel,0.0,0
3072,Light novel,0.0,0
3068,Card game,0.0,0
13839,Card game,0.0,0
12222,Manga,0.0,0
13310,Other,0.0,0
1782,4-koma manga,0.0,0
14048,Original,0.0,0
14392,Novel,0.0,0
1919,Manga,0.0,0
13138,Manga,0.0,0
2886,Manga,0.0,0
14220,Manga,0.0,0
6527,Manga,0.0,0
11439,Game,0.0,0
6557,Manga,0.0,0
13093,Original,0.0,0
6614,Light novel,0.0,0
8350,Novel,0.0,0
1989,Light novel,0.0,0
6650,Original,0.0,0
6679,Web manga,0.0,0
6688,Web manga,0.0,0
11487,Manga,0.0,0
8293,Unknown,0.0,0
8291,Novel,0.0,0
11492,Light novel,0.0,0
14161,Original,0.0,0
13995,Original,0.0,0
14400,Original,0.0,0
8266,Original,0.0,0
4490,Visual novel,0.0,0
4064,Manga,0.0,0
2779,Web manga,0.0,0
12942,Game,0.0,0
4697,Original,0.0,0
334,Original,0.0,0
12501,Web manga,0.0,0
8645,Card game,0.0,0
14380,Original,0.0,0
11274,Game,0.0,0
4681,Unknown,0.0,0
11288,Manga,0.0,0
3965,Manga,0.0,0
3968,Novel,0.0,0
3969,Light novel,0.0,0
387,Novel,0.0,0
3970,Original,0.0,0
14383,Picture book,0.0,0
12277,Manga,0.0,0
8613,Original,0.0,0
13601,Game,0.0,0
1806,Novel,0.0,0
11321,Light novel,0.0,0
6393,Manga,0.0,0
2948,Novel,0.0,0
8549,Unknown,0.0,0
14386,Manga,0.0,0
1843,Original,0.0,0
1860,Novel,0.0,0
4615,Novel,0.0,0
13819,Other,0.0,0
14388,Game,0.0,0
13612,Manga,0.0,0
1881,Manga,0.0,0
8468,Original,0.0,0
12470,Light novel,0.0,0
9149,Manga,0.0,0
14354,Manga,0.0,0
894,Manga,0.0,0
5493,Original,0.0,0
9957,Manga,0.0,0
13920,Other,0.0,0
5513,Manga,0.0,0
9931,Novel,0.0,0
9917,Other,0.0,0
12125,Visual novel,0.0,0
864,Manga,0.0,0
9911,Original,0.0,0
12770,Light novel,0.0,0
10376,Manga,0.0,0
5218,Original,0.0,0
5551,Original,0.0,0
9851,Original,0.0,0
14292,Unknown,0.0,0
5575,Light novel,0.0,0
9819,Manga,0.0,0
10414,Visual novel,0.0,0
5588,Game,0.0,0
3423,Manga,0.0,0
12166,Light novel,0.0,0
1181,Original,0.0,0
5627,Original,0.0,0
9751,Original,0.0,0
3664,Game,0.0,0
14287,Original,0.0,0
9977,Original,0.0,0
14075,Game,0.0,0
10275,Original,0.0,0
9989,Manga,0.0,0
10139,Visual novel,0.0,0
5353,Original,0.0,0
10143,Original,0.0,0
5341,Picture book,0.0,0
10146,Novel,0.0,0
988,Light novel,0.0,0
3535,Original,0.0,0
12783,Light novel,0.0,0
3575,Manga,0.0,0
13155,Novel,0.0,0
947,Light novel,0.0,0
943,Original,0.0,0
5300,Game,0.0,0
14303,Novel,0.0,0
930,Manga,0.0,0
10203,Manga,0.0,0
10018,Original,0.0,0
1042,Original,0.0,0
10017,Original,0.0,0
5440,Unknown,0.0,0
13438,Original,0.0,0
10238,Manga,0.0,0
3599,Manga,0.0,0
10001,Manga,0.0,0
9994,Game,0.0,0
13036,Manga,0.0,0
9993,Light novel,0.0,0
9985,Novel,0.0,0
10915,Original,0.0,0
3389,Game,0.0,0
784,Light novel,0.0,0
10697,Novel,0.0,0
14269,Game,0.0,0
9386,Web manga,0.0,0
10726,Manga,0.0,0
10736,Manga,0.0,0
1396,Light novel,0.0,0
10743,Game,0.0,0
3756,Manga,0.0,0
9355,Visual novel,0.0,0
5029,Unknown,0.0,0
671,Manga,0.0,0
1409,Original,0.0,0
1410,Manga,0.0,0
12627,Other,0.0,0
5862,Manga,0.0,0
4989,Web manga,0.0,0
3235,Original,0.0,0
639,Original,0.0,0
10816,Manga,0.0,0
14067,Manga,0.0,0
5910,Game,0.0,0
13528,Original,0.0,0
13354,Game,0.0,0
14254,Original,0.0,0
9212,Web manga,0.0,0
12543,Original,0.0,0
9184,Light novel,0.0,0
14341,Unknown,0.0,0
3675,4-koma manga,0.0,0
14270,Game,0.0,0
14272,Manga,0.0,0
9682,Manga,0.0,0
3680,Other,0.0,0
9680,Manga,0.0,0
9668,Unknown,0.0,0
12577,Original,0.0,0
14284,Manga,0.0,0
5697,Manga,0.0,0
14105,Manga,0.0,0
14281,Original,0.0,0
9620,Original,0.0,0
5125,Web manga,0.0,0
14280,Novel,0.0,0
9595,Manga,0.0,0
3337,Manga,0.0,0
1282,Original,0.0,0
3333,Manga,0.0,0
13489,Manga,0.0,0
5083,Visual novel,0.0,0
1298,Game,0.0,0
12194,Music,0.0,0
13379,Digital manga,0.0,0
5070,Novel,0.0,0
1310,Music,0.0,0
9500,Manga,0.0,0
5768,Original,0.0,0
3300,Original,0.0,0
14107,Web manga,0.0,0
3292,Light novel,0.0,0
11531,Web manga,0.0,0
14132,Other,0.0,0
10128,Manga,0.0,0
2529,Light novel,0.0,0
7549,Visual novel,0.0,0
11988,Light novel,0.0,0
6842,Original,0.0,0
7643,4-koma manga,0.0,0
7646,Game,0.0,0
14404,Unknown,0.0,0
4359,Original,0.0,0
14410,Manga,0.0,0
2531,Manga,0.0,0
76,Manga,0.0,0
14438,Original,0.0,0
11713,Novel,0.0,0
14019,Manga,0.0,0
7032,Manga,0.0,0
12700,Other,0.0,0
12412,Game,0.0,0
11937,Original,0.0,0
8058,Manga,0.0,0
187,Manga,0.0,0
8095,Other,0.0,0
11743,Original,0.0,0
7234,Manga,0.0,0
13146,Manga,0.0,0
2098,Original,0.0,0
14183,Unknown,0.0,0
4148,Game,0.0,0
2128,Visual novel,0.0,0
4271,Manga,0.0,0
2372,Light novel,0.0,0
4135,Original,0.0,0
55,Manga,0.0,0
6955,Other,0.0,0
7956,4-koma manga,0.0,0
11669,Game,0.0,0
7957,Original,0.0,0
12687,Original,0.0,0
11896,Web manga,0.0,0
14005,Web manga,0.0,0
2511,Manga,0.0,0
7971,Original,0.0,0
2154,Original,0.0,0
2153,Manga,0.0,0
2152,Original,0.0,0
7568,Novel,0.0,0
2514,Manga,0.0,0
14406,Manga,0.0,0
4400,Game,0.0,0
7563,4-koma manga,0.0,0
4143,Novel,0.0,0
7376,Manga,0.0,0
13233,Visual novel,0.0,0
11688,Manga,0.0,0
11690,Manga,0.0,0
6983,Visual novel,0.0,0
14421,Original,0.0,0
2326,Original,0.0,0
11584,Original,0.0,0
4152,Original,0.0,0
2108,4-koma manga,0.0,0
2177,Unknown,0.0,0
7741,Manga,0.0,0
7812,Game,0.0,0
2063,Original,0.0,0
229,Game,0.0,0
11765,Original,0.0,0
12420,Light novel,0.0,0
14014,Game,0.0,0
11770,Game,0.0,0
14413,Original,0.0,0
14414,Original,0.0,0
7814,Original,0.0,0
7416,Manga,0.0,0
2762,Game,0.0,0
6784,Novel,0.0,0
13680,Light novel,0.0,0
7481,Light novel,0.0,0
